Id,Designator,Quantity,Manufacturer,Manufacturer Part Number,Value,Part Description,Footprint,Type,Distributor,Distributor Part Number,Distributor Link,Datasheet
17,R10,1,YAGEO,RC0402FR-071ML,1M,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1MΩ 0402 Chip Resistor,R_0402_1005Metric,SMD,LCSC,C138033,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-071ML_C138033.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071ML_C138033.pdf
18,"R11, R12, R3, R4",4,YAGEO,RC0402FR-0710KL,10K,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor,R_0402_1005Metric,SMD,LCSC,C60490,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0710KL_C60490.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071ML_C138033.pdf
19,"R5, R6",2,YAGEO,RC0402FR-07100KL,100K,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 100kΩ 0402 Chip Resistor,R_0402_1005Metric,SMD,LCSC,C60491,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-07100KL_C60491.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071ML_C138033.pdf
20,"R7, R8",2,YAGEO,RC0402FR-071KL,1K,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor,R_0402_1005Metric,SMD,LCSC,C106235,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-071KL_C106235.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071ML_C138033.pdf
21,R9,1,YAGEO,RC0402FR-0716K9L,16.9K,62.5mW Thick Film Resistors 50V ±100ppm/℃ ±1% 16.9kΩ 0402 Chip Resistor,R_0402_1005Metric,SMD,LCSC,C163488,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0716K9L_C163488.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071ML_C138033.pdf
22,TP1,1,-,-,RX2,,TestPoint_Pad_D1.0mm,SMD,-,-,,
23,TP2,1,-,-,TX2,,TestPoint_Pad_D1.0mm,SMD,-,-,,
24,TP3,1,-,-,SWCLK,,TestPoint_Pad_D1.0mm,SMD,-,-,,
25,TP4,1,-,-,SWDIO,,TestPoint_Pad_D1.0mm,SMD,-,-,,
26,TP5,1,-,-,RST,,TestPoint_Pad_D1.0mm,SMD,-,-,,
27,TP6,1,-,-,BOOT,,TestPoint_Pad_D1.0mm,SMD,-,-,,
28,TP7,1,-,-,DLY_MDRV,,TestPoint_Pad_D1.0mm,SMD,-,-,,
29,TP8,1,-,-,3V0,,TestPoint_Pad_D1.0mm,SMD,-,-,,
30,TP9,1,-,-,GND,,TestPoint_Pad_D1.0mm,SMD,-,-,,
31,U1,1,RAKwireless, RAK3172-SIP,RAK3172-SIP,Low Power STM32WLE5 Module for LoRaWAN,RAK3172-SiP_LGA75,SMD,RAKwireless,306039,Contact inquiry@rakwireless.com for SKU: 309044,https://docs.rakwireless.com/Product-Categories/WisDuo/RAK3172-SiP/Overview/
32,U2,1,Nexperia,NBM7100ABQX,NBM7100ABQX,Battery Management Battery Lifetime Booster IC,NBM7100ABQX,SMD,Mouser,771-NBM7100ABQX,https://www.mouser.com/ProductDetail/Nexperia/NBM7100ABQX?qs=3Rah4i%252BhyCF01xeTVtYHlQ%3D%3D,https://www.mouser.com/datasheet/2/916/NBM7100-3223851.pdf
33,U3,1,Zetta,ZD24C08A-STGMT,ZD24C16A,8Kbit 1MHz I2C SOT-23-5 EEPROM,SOT-23-5,SMD,LCSC,C2896640,https://www.lcsc.com/product-detail/EEPROM_Zetta-ZD24C08A-STGMT_C2896640.html,https://datasheet.lcsc.com/lcsc/2109141830_Zetta-ZD24C08A-STGMT_C2896640.pdf
34,U4,1,Bosch Sensortec,BME688,BME688,SMD-8P Temperature and Humidity Sensor,BME680-PSON80P300X300X100-8N,SMD,LCSC,C3664478,https://www.lcsc.com/product-detail/Temperature-and-Humidity-Sensor_Bosch-Sensortec-BME688_C3664478.html,https://ae-bst.resource.bosch.com/media/_tech/media/datasheets/BST-BME680-DS001.pdf
35,U5,1,Texas Instruments,TPL5110DDCT,TPL5110DDCT,TSOT-23-6 Timers / Clock Oscillators,SOT95P280X110-6N,SMD,LCSC,C125830,https://www.lcsc.com/product-detail/Timers-Clock-Oscillators_Texas-Instruments-TPL5110DDCT_C125830.html,https://www.ti.com/lit/ds/symlink/tpl5110.pdf?ts=1687180550530&ref_url=https%253A%252F%252Fwww.ti.com%252Fproduct%252FTPL5110%253Futm_source%253Dgoogle%2526utm_medium%253Dcpc%2526utm_campaign%253Dasc-null-null-GPN_EN-cpc-pf-google-soas%2526utm_content%253DTPL5110%2526ds_k%253DTPL5110%2526DCM%253Dyes%2526gclid%253DCjwKCAjw-b-kBhB-EiwA4fvKrMNFiH1h26_nwvzzXTXaz0gm0MJjSKIDSn8INma5TCSYrkFfD5J_WxoCtJAQAvD_BwE%2526gclsrc%253Daw.ds
