Item,Designator,Qty,Manufacturer,Manufacturer Part Number,Value,Part Description,Footprint,Type,Distributor,Distributor Part Number,Distributor Link,Datasheet
16,"R1, R2",2,YAGEO,RC0402FR-074K7L,4K7,Resistor 62.5mW 50V ±100ppm/℃ ±1% 4.7kΩ,0402_1005Metric,SMD,LCSC,C105871,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-074K7L_C105871.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-074K7L_C105871.pdf
17,"R3, R4, R11, R12",4,YAGEO,RC0402FR-0710KL,10K,Resistor 10K 1% 62.5mW,0402_1005Metric,SMD,LCSC,C60490,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0710KL_C60490.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-0710KL_C60490.pdf
18,"R5, R6",2,YAGEO,RC0402FR-07100KL,100K,Resistors 62.5mW 50V ±100ppm/℃ ±1% 100kΩ,0402_1005Metric,SMD,LCSC,C60491,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-07100KL_C60491.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-07100KL_C60491.pdf
19,"R7, R8",2,YAGEO,RC0402FR-071KL,1K,Resistors 62.5mW 50V ±100ppm/℃ ±1% 1kΩ,0402_1005Metric,SMD,LCSC,C106235,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-071KL_C106235.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-071KL_C106235.pdf
20,R9,1,YAGEO,RC0402FR-0716K9L,16K9,Resistors 62.5mW 50V ±100ppm/℃ ±1% 16.9kΩ,0402_1005Metric,SMD,LCSC,C163488,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_YAGEO-RC0402FR-0716K9L_C163488.html,https://datasheet.lcsc.com/lcsc/2304140030_YAGEO-RC0402FR-0716K9L_C163488.pdf
21,"R10, R14, R15",3,UNI-ROYAL(Uniroyal Elec),0402WGF1004TCE,1M,Resistor 62.5mW ±1% 1MΩ,0402_1005Metric,SMD,LCSC,C26083,https://www.lcsc.com/product-detail/Chip-Resistor-Surface-Mount_UNI-ROYAL-Uniroyal-Elec-0402WGF1004TCE_C26083.html,https://datasheet.lcsc.com/lcsc/2206010030_UNI-ROYAL-Uniroyal-Elec-0402WGF1004TCE_C26083.pdf
22,U1,1,RAKwireless,RAK3172-SIP-9-SM-NI,RAK3172-SIP,Low Power STM32WLE5 Module for LoRaWAN,RAK3172-SiP_LGA75,SMD,RAKwireless,306039,Contact inquiry@rakwireless.com for SKU: 306039,https://docs.rakwireless.com/Product-Categories/WisDuo/RAK3172-SiP/Datasheet/#hardware
23,U2,1,Nexperia,NBM7100ABQX,NBM7100ABQX,Coin cell battery life booster,NBM7100ABQX,SMD,Digikey,1727-NBM7100ABQXCT-ND,https://www.digikey.com/en/products/detail/nexperia-usa-inc/NBM7100ABQX/19109915,https://assets.nexperia.com/documents/data-sheet/NBM7100.pdf
24,U3,1,Zetta,ZD24C08A-STGMT,ZD24C08A,8Kbit 1MHz I2C SOT-23-5 EEPROM,SOT-23-5,SMD,LCSC,C2896640,https://www.lcsc.com/product-detail/EEPROM_Zetta-ZD24C08A-STGMT_C2896640.html,https://datasheet.lcsc.com/lcsc/2109141830_Zetta-ZD24C08A-STGMT_C2896640.pdf
25,U4,1,Bosch Sensortec,BME688,BME688,"Gas, Humidity, Pressure, Temperature Sensor I²C, SPI Output",BME688,SMD,Digikey,828-BME688CT-ND,https://www.digikey.com/en/products/detail/bosch-sensortec/BME688/13681261,https://www.bosch-sensortec.com/media/boschsensortec/downloads/datasheets/bst-bme688-ds000.pdf
26,U5,1,Texas Instruments,TPL5110DDCT,TPL5110,Timers / Clock Oscillators,SOT-23-6,SMD,LCSC,C125830,https://www.lcsc.com/product-detail/Timers-Clock-Oscillators_Texas-Instruments-TPL5110DDCT_C125830.html,http://www.ti.com/lit/ds/symlink/tpl5110.pdf
27,"C18, C20",2,-,-,DNP,-,0603_1608Metric,SMD,-,-,-,-
